pitcher,player_name,p_throws,pitch_type,pitches,stuff_plus,whiff_pct,barrel_pct,xwoba_against,avg_velo,avg_ivb,avg_hb
670955,"Uceta, Edwin",R,FC,130,106.0,23.1,0.0,0.093,89.5,9.2,0.6
690997,"McLean, Nolan",R,FF,74,106.0,18.9,0.0,0.036,95.8,13.9,-10.6
683618,"Henriquez, Edgardo",R,SI,63,106.0,15.9,0.0,0.097,100.8,12.5,-14.6
622554,"Domínguez, Seranthony",R,FS,104,106.0,48.1,0.0,0.073,87.2,2.8,-8.4
685326,"Brown, McCade",R,SL,61,106.0,29.5,1.6,0.148,85.2,2.6,3.6
675848,"Mejia, Juan",R,FF,487,106.0,21.1,0.2,0.066,96.7,12.3,-1.3
661395,"Duran, Jhoan",R,KC,124,105.9,30.6,0.0,0.082,87.8,-10.2,5.4
800048,"Messick, Parker",L,CH,112,105.9,31.2,0.0,0.104,84.7,2.3,14.3
801403,"Dollander, Chase",R,CU,213,105.9,30.0,0.5,0.082,79.2,-7.3,14.1
554430,"Wheeler, Zack",R,SI,261,105.8,11.9,1.1,0.095,95.5,7.6,-17.5
687209,"Maxwell, Zach",R,FF,57,105.8,26.3,0.0,0.076,99.8,17.5,-9.4
670912,"Oviedo, Johan",R,FF,135,105.7,21.5,0.7,0.102,95.6,15.4,-6.2
518585,"Cruz, Fernando",R,FS,306,105.7,47.7,0.7,0.072,80.6,0.1,-4.6
670280,"Bednar, David",R,CU,272,105.7,21.7,0.0,0.039,77.5,-7.7,8.1
665152,"Kremer, Dean",R,FS,352,105.7,36.9,0.3,0.088,81.8,9.7,-10.5
676534,"Faucher, Calvin",R,CU,70,105.6,31.4,0.0,0.081,86.2,-12.6,10.5
678606,"Ferrer, Jose A.",L,SI,568,105.6,10.6,0.2,0.093,97.7,6.5,18.4
607192,"Glasnow, Tyler",R,FF,380,105.6,11.8,1.3,0.084,95.8,16.3,-1.2
669093,"Estrada, Jeremiah",R,FS,176,105.5,38.1,0.0,0.043,83.7,10.1,-10.9
670167,"Schreiber, John",R,FF,227,105.5,27.3,0.4,0.097,93.6,10.6,-11.0
656731,"Megill, Tylor",R,SI,147,105.5,12.2,0.7,0.093,94.1,7.9,-15.6
669467,"Pallante, Andre",R,FF,829,105.5,9.4,0.8,0.124,94.4,10.0,-0.4
694350,"Brzykcy, Zach",R,CH,61,105.5,42.6,0.0,0.097,88.1,9.3,-16.4
695505,"Burns, Chase",R,SL,217,105.4,36.4,0.5,0.088,91.0,1.3,4.5
669684,"Murphy, Chris",L,FF,117,105.4,23.1,0.0,0.051,94.4,16.9,5.6
660271,"Ohtani, Shohei",R,SL,64,105.4,37.5,0.0,0.058,88.1,-0.3,3.3
682254,"Montgomery, Mason",L,SL,185,105.4,38.4,0.5,0.099,89.7,1.8,-0.8
624133,"Suarez, Ranger",L,SL,55,105.3,43.6,1.8,0.061,79.7,5.4,-8.3
